league,year,home & away,scored,missed,result,wins,draws,loses,pts,team,date
Bundesliga,2014,h,2,1,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,1,1,d,0,1,0,1,Bayern Munich,
Bundesliga,2014,h,2,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,0,0,d,0,1,0,1,Bayern Munich,
Bundesliga,2014,h,4,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,2,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,h,4,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,h,6,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,0,0,d,0,1,0,1,Bayern Munich,
Bundesliga,2014,h,2,1,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,4,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,h,4,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,1,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,h,1,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,4,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,h,2,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,2,1,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,1,4,l,0,0,1,0,Bayern Munich,
Bundesliga,2014,h,1,1,d,0,1,0,1,Bayern Munich,
Bundesliga,2014,a,2,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,h,8,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,6,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,h,4,1,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,3,1,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,4,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,h,0,2,l,0,0,1,0,Bayern Munich,
Bundesliga,2014,a,1,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,h,3,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,2,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,h,1,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,0,2,l,0,0,1,0,Bayern Munich,
Bundesliga,2014,h,0,1,l,0,0,1,0,Bayern Munich,
Bundesliga,2014,a,1,2,l,0,0,1,0,Bayern Munich,
Bundesliga,2014,h,2,0,w,1,0,0,3,Bayern Munich,
Bundesliga,2014,a,0,0,d,0,1,0,1,Hamburger SV,
Bundesliga,2014,h,0,3,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,a,0,2,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,0,0,d,0,1,0,1,Hamburger SV,
Bundesliga,2014,a,0,1,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,1,2,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,a,1,0,w,1,0,0,3,Hamburger SV,
Bundesliga,2014,h,1,1,d,0,1,0,1,Hamburger SV,
Bundesliga,2014,a,0,3,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,1,0,w,1,0,0,3,Hamburger SV,
Bundesliga,2014,a,0,2,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,2,0,w,1,0,0,3,Hamburger SV,
Bundesliga,2014,a,1,3,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,2,1,w,1,0,0,3,Hamburger SV,
Bundesliga,2014,a,0,0,d,0,1,0,1,Hamburger SV,
Bundesliga,2014,h,0,1,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,a,0,0,d,0,1,0,1,Hamburger SV,
Bundesliga,2014,h,0,2,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,a,3,0,w,1,0,0,3,Hamburger SV,
Bundesliga,2014,h,2,1,w,1,0,0,3,Hamburger SV,
Bundesliga,2014,a,0,8,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,1,1,d,0,1,0,1,Hamburger SV,
Bundesliga,2014,a,1,2,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,0,0,d,0,1,0,1,Hamburger SV,
Bundesliga,2014,a,0,3,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,0,1,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,a,0,4,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,0,2,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,a,0,1,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,3,2,w,1,0,0,3,Hamburger SV,
Bundesliga,2014,a,2,1,w,1,0,0,3,Hamburger SV,
Bundesliga,2014,h,1,1,d,0,1,0,1,Hamburger SV,
Bundesliga,2014,a,1,2,l,0,0,1,0,Hamburger SV,
Bundesliga,2014,h,2,0,w,1,0,0,3,Hamburger SV,
Bundesliga,2014,a,2,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,h,4,2,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,h,3,3,d,0,1,0,1,Bayer Leverkusen,
Bundesliga,2014,a,1,4,l,0,0,1,0,Bayer Leverkusen,
Bundesliga,2014,h,1,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,a,0,0,d,0,1,0,1,Bayer Leverkusen,
Bundesliga,2014,h,2,2,d,0,1,0,1,Bayer Leverkusen,
Bundesliga,2014,a,3,3,d,0,1,0,1,Bayer Leverkusen,
Bundesliga,2014,h,1,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,a,0,1,l,0,0,1,0,Bayer Leverkusen,
Bundesliga,2014,h,0,0,d,0,1,0,1,Bayer Leverkusen,
Bundesliga,2014,a,3,1,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,h,5,1,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,a,0,1,l,0,0,1,0,Bayer Leverkusen,
Bundesliga,2014,h,1,1,d,0,1,0,1,Bayer Leverkusen,
Bundesliga,2014,a,1,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,h,1,1,d,0,1,0,1,Bayer Leverkusen,
Bundesliga,2014,h,0,0,d,0,1,0,1,Bayer Leverkusen,
Bundesliga,2014,a,1,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,a,1,2,l,0,0,1,0,Bayer Leverkusen,
Bundesliga,2014,h,4,5,l,0,0,1,0,Bayer Leverkusen,
Bundesliga,2014,a,2,2,d,0,1,0,1,Bayer Leverkusen,
Bundesliga,2014,h,1,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,a,3,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,h,4,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,a,1,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,h,4,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,a,3,2,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,h,4,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,a,1,1,d,0,1,0,1,Bayer Leverkusen,
Bundesliga,2014,h,2,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,a,0,3,l,0,0,1,0,Bayer Leverkusen,
Bundesliga,2014,h,2,0,w,1,0,0,3,Bayer Leverkusen,
Bundesliga,2014,a,1,2,l,0,0,1,0,Bayer Leverkusen,
Bundesliga,2014,h,2,0,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,a,1,1,d,0,1,0,1,Hoffenheim,
Bundesliga,2014,h,1,1,d,0,1,0,1,Hoffenheim,
Bundesliga,2014,a,2,0,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,h,3,3,d,0,1,0,1,Hoffenheim,
Bundesliga,2014,a,0,0,d,0,1,0,1,Hoffenheim,
Bundesliga,2014,h,2,1,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,a,1,1,d,0,1,0,1,Hoffenheim,
Bundesliga,2014,h,1,0,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,a,1,3,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,h,3,4,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,a,0,4,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,h,4,3,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,a,0,1,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,h,3,2,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,h,0,1,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,a,5,0,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,a,1,3,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,h,1,2,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,a,0,3,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,h,2,1,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,a,1,1,d,0,1,0,1,Hoffenheim,
Bundesliga,2014,h,2,0,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,a,1,3,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,h,3,0,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,a,0,0,d,0,1,0,1,Hoffenheim,
Bundesliga,2014,h,1,4,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,a,2,3,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,h,0,2,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,a,2,1,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,h,1,1,d,0,1,0,1,Hoffenheim,
Bundesliga,2014,a,1,3,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,a,0,2,l,0,0,1,0,Hoffenheim,
Bundesliga,2014,h,2,1,w,1,0,0,3,Hoffenheim,
Bundesliga,2014,a,0,2,l,0,0,1,0,Augsburg,
Bundesliga,2014,h,2,3,l,0,0,1,0,Augsburg,
Bundesliga,2014,a,1,0,w,1,0,0,3,Augsburg,
Bundesliga,2014,h,4,2,w,1,0,0,3,Augsburg,
Bundesliga,2014,a,0,1,l,0,0,1,0,Augsburg,
Bundesliga,2014,h,1,0,w,1,0,0,3,Augsburg,
Bundesliga,2014,a,0,1,l,0,0,1,0,Augsburg,
Bundesliga,2014,a,1,2,l,0,0,1,0,Augsburg,
Bundesliga,2014,h,2,0,w,1,0,0,3,Augsburg,
Bundesliga,2014,a,0,1,l,0,0,1,0,Augsburg,
Bundesliga,2014,h,3,0,w,1,0,0,3,Augsburg,
Bundesliga,2014,a,1,0,w,1,0,0,3,Augsburg,
Bundesliga,2014,h,3,1,w,1,0,0,3,Augsburg,
Bundesliga,2014,a,2,1,w,1,0,0,3,Augsburg,
Bundesliga,2014,h,0,4,l,0,0,1,0,Augsburg,
Bundesliga,2014,a,0,2,l,0,0,1,0,Augsburg,
Bundesliga,2014,h,2,1,w,1,0,0,3,Augsburg,
Bundesliga,2014,h,3,1,w,1,0,0,3,Augsburg,
Bundesliga,2014,a,1,0,w,1,0,0,3,Augsburg,
Bundesliga,2014,h,2,2,d,0,1,0,1,Augsburg,
Bundesliga,2014,a,2,3,l,0,0,1,0,Augsburg,
Bundesliga,2014,h,2,2,d,0,1,0,1,Augsburg,
Bundesliga,2014,a,0,1,l,0,0,1,0,Augsburg,
Bundesliga,2014,h,1,0,w,1,0,0,3,Augsburg,
Bundesliga,2014,h,0,2,l,0,0,1,0,Augsburg,
Bundesliga,2014,a,0,2,l,0,0,1,0,Augsburg,
Bundesliga,2014,h,0,0,d,0,1,0,1,Augsburg,
Bundesliga,2014,a,1,2,l,0,0,1,0,Augsburg,
Bundesliga,2014,h,2,1,w,1,0,0,3,Augsburg,
Bundesliga,2014,a,2,3,l,0,0,1,0,Augsburg,
Bundesliga,2014,h,0,0,d,0,1,0,1,Augsburg,
Bundesliga,2014,a,1,0,w,1,0,0,3,Augsburg,
Bundesliga,2014,h,1,2,l,0,0,1,0,Augsburg,
Bundesliga,2014,a,3,1,w,1,0,0,3,Augsburg,
Bundesliga,2014,h,2,2,d,0,1,0,1,Hertha Berlin,
Bundesliga,2014,a,2,4,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,h,1,3,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,a,2,2,d,0,1,0,1,Hertha Berlin,
Bundesliga,2014,h,1,0,w,1,0,0,3,Hertha Berlin,
Bundesliga,2014,a,0,1,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,h,3,2,w,1,0,0,3,Hertha Berlin,
Bundesliga,2014,a,0,2,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,h,3,0,w,1,0,0,3,Hertha Berlin,
Bundesliga,2014,a,1,3,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,h,0,2,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,a,2,1,w,1,0,0,3,Hertha Berlin,
Bundesliga,2014,h,0,1,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,a,2,3,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,h,1,0,w,1,0,0,3,Hertha Berlin,
Bundesliga,2014,a,4,4,d,0,1,0,1,Hertha Berlin,
Bundesliga,2014,h,0,5,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,a,0,2,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,h,0,1,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,a,2,0,w,1,0,0,3,Hertha Berlin,
Bundesliga,2014,h,0,2,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,a,1,2,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,h,1,0,w,1,0,0,3,Hertha Berlin,
Bundesliga,2014,a,0,0,d,0,1,0,1,Hertha Berlin,
Bundesliga,2014,h,2,2,d,0,1,0,1,Hertha Berlin,
Bundesliga,2014,a,1,0,w,1,0,0,3,Hertha Berlin,
Bundesliga,2014,h,2,0,w,1,0,0,3,Hertha Berlin,
Bundesliga,2014,a,1,1,d,0,1,0,1,Hertha Berlin,
Bundesliga,2014,h,0,0,d,0,1,0,1,Hertha Berlin,
Bundesliga,2014,a,0,1,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,h,1,2,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,a,0,2,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,h,0,0,d,0,1,0,1,Hertha Berlin,
Bundesliga,2014,a,1,2,l,0,0,1,0,Hertha Berlin,
Bundesliga,2014,a,2,2,d,0,1,0,1,Werder Bremen,
Bundesliga,2014,h,1,1,d,0,1,0,1,Werder Bremen,
Bundesliga,2014,a,3,3,d,0,1,0,1,Werder Bremen,
Bundesliga,2014,a,2,4,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,h,0,3,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,a,1,2,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,h,1,1,d,0,1,0,1,Werder Bremen,
Bundesliga,2014,a,0,6,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,h,0,1,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,a,2,1,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,h,2,0,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,a,0,2,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,h,4,0,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,a,2,5,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,h,3,3,d,0,1,0,1,Werder Bremen,
Bundesliga,2014,a,1,4,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,h,2,1,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,h,2,0,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,a,2,1,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,h,2,1,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,h,3,2,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,a,1,1,d,0,1,0,1,Werder Bremen,
Bundesliga,2014,h,3,5,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,a,1,0,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,h,0,4,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,a,1,1,d,0,1,0,1,Werder Bremen,
Bundesliga,2014,h,0,0,d,0,1,0,1,Werder Bremen,
Bundesliga,2014,a,2,3,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,h,1,0,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,a,2,2,d,0,1,0,1,Werder Bremen,
Bundesliga,2014,h,1,0,w,1,0,0,3,Werder Bremen,
Bundesliga,2014,a,1,1,d,0,1,0,1,Werder Bremen,
Bundesliga,2014,h,0,2,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,a,2,3,l,0,0,1,0,Werder Bremen,
Bundesliga,2014,a,1,2,l,0,0,1,0,Schalke 04,
Bundesliga,2014,h,1,1,d,0,1,0,1,Schalke 04,
Bundesliga,2014,a,1,4,l,0,0,1,0,Schalke 04,
Bundesliga,2014,h,2,2,d,0,1,0,1,Schalke 04,
Bundesliga,2014,a,3,0,w,1,0,0,3,Schalke 04,
Bundesliga,2014,h,2,1,w,1,0,0,3,Schalke 04,
Bundesliga,2014,a,1,2,l,0,0,1,0,Schalke 04,
Bundesliga,2014,h,2,0,w,1,0,0,3,Schalke 04,
Bundesliga,2014,a,0,1,l,0,0,1,0,Schalke 04,
Bundesliga,2014,h,1,0,w,1,0,0,3,Schalke 04,
Bundesliga,2014,a,0,2,l,0,0,1,0,Schalke 04,
Bundesliga,2014,h,3,2,w,1,0,0,3,Schalke 04,
Bundesliga,2014,h,4,1,w,1,0,0,3,Schalke 04,
Bundesliga,2014,a,4,0,w,1,0,0,3,Schalke 04,
Bundesliga,2014,h,1,2,l,0,0,1,0,Schalke 04,
Bundesliga,2014,a,2,1,w,1,0,0,3,Schalke 04,
Bundesliga,2014,h,0,0,d,0,1,0,1,Schalke 04,
Bundesliga,2014,h,1,0,w,1,0,0,3,Schalke 04,
Bundesliga,2014,a,1,1,d,0,1,0,1,Schalke 04,
Bundesliga,2014,h,1,0,w,1,0,0,3,Schalke 04,
Bundesliga,2014,a,0,1,l,0,0,1,0,Schalke 04,
Bundesliga,2014,h,1,1,d,0,1,0,1,Schalke 04,
Bundesliga,2014,a,0,3,l,0,0,1,0,Schalke 04,
Bundesliga,2014,h,3,1,w,1,0,0,3,Schalke 04,
Bundesliga,2014,a,2,2,d,0,1,0,1,Schalke 04,
Bundesliga,2014,h,0,1,l,0,0,1,0,Schalke 04,
Bundesliga,2014,a,0,0,d,0,1,0,1,Schalke 04,
Bundesliga,2014,h,0,0,d,0,1,0,1,Schalke 04,
Bundesliga,2014,a,1,1,d,0,1,0,1,Schalke 04,
Bundesliga,2014,a,0,2,l,0,0,1,0,Schalke 04,
Bundesliga,2014,h,3,2,w,1,0,0,3,Schalke 04,
Bundesliga,2014,a,0,2,l,0,0,1,0,Schalke 04,
Bundesliga,2014,h,1,0,w,1,0,0,3,Schalke 04,
Bundesliga,2014,a,0,2,l,0,0,1,0,Schalke 04,
Bundesliga,2014,a,2,2,d,0,1,0,1,Mainz 05,
Bundesliga,2014,h,0,0,d,0,1,0,1,Mainz 05,
Bundesliga,2014,a,3,1,w,1,0,0,3,Mainz 05,
Bundesliga,2014,h,2,0,w,1,0,0,3,Mainz 05,
Bundesliga,2014,a,2,2,d,0,1,0,1,Mainz 05,
Bundesliga,2014,h,0,0,d,0,1,0,1,Mainz 05,
Bundesliga,2014,a,1,1,d,0,1,0,1,Mainz 05,
Bundesliga,2014,h,2,1,w,1,0,0,3,Mainz 05,
Bundesliga,2014,a,0,3,l,0,0,1,0,Mainz 05,
Bundesliga,2014,h,1,2,l,0,0,1,0,Mainz 05,
Bundesliga,2014,a,0,0,d,0,1,0,1,Mainz 05,
Bundesliga,2014,h,2,2,d,0,1,0,1,Mainz 05,
